Source,Relation,Target,Weight
materials of worship,BE CEREMONIALLY BROUGHT IN,water and butter,1
lamas,BE REFRESHED,with butter-tea,1
human being,BE INVOLVED IN WORSHIP,in totality,1
ladakh,SURVIVE,the vajrayana in its original setting,1
tashi namgyal's fort,BE NO LONGER INHABITED,by a lama from sankar gompa,1
maitreya temple,HAVE RECENT PAINTINGS OF FIGURES,including sakyamuni and padmasambhava,1
gon-khang,BE MUCH MORE INTERESTING,to the visitor with a powerful torch,1
tashi namgyal,PORTRAYED AS,portrait,1
tashi namgyal,HAS FEATURES IDENTICAL TO,another tashi namgyal,1
persian art,SIMILAR IN STYLE TO,tibetan art,1
mughal style,CURRENT AMONG,ladakhi nobility,1
leh,HAS A PANORAMIC VIEW OF,the zanskar range and stok kangri,1
dard castle,REMAINS OF ANCIENT FORTIFICATIONS,tashi's fort,1
sankar gompa,RESIDENCE OF,"spituk's head lama, the venerable kushok bakula",1
spituk gompa,FOUNDED ON SITE OF,eleventh-century monastery,1
spituk gompa,FIRST GE-LUGS-PA ESTABLISHMENT IN,ladakh,1
du-khang,FOLLOWS PATTERN OF ALL SUCH BUILDINGS WITHOUT ANY FEATURES OF PARTICULAR INTEREST,main gompa buildings,1
gon-khang,CONTAINS IMPRESSIVE IMAGES OF,usual fierce guardian divinities,1
tson-ka-pa,PORTRAIT_OF,rock-engravings,1
phiyang phiyang gompa,CROWN_A_SMALL_HILL,a small hill dominating the village of the same name,1
phiyang phiyang gompa,SITUATED_IN,a valley just off the main road down the indus,1
king tashi namgyal,FOUNDED,one of the two dri-gung-pa monasteries in ladakh,1
phiyang phiyang gompa,ERECTED,a large prayer-flag-pole,1
gompa visitor,STRIKE_AN_IMPRESSION_OF,neatness and cleanness about phiyang,1
most gompas,HAVE,torch,1
phiyang phiyang gompa,UPKEEP,"the paintings, as soon as they show signs of becoming shabby, are replaced",1
kashmiri buddhist bronzes,CANNOT_BE_LATER_THAN,14th century or so,1
phiyang phiyang gompa,HAVE,a collection of kashmiri buddhist bronzes and a few pieces of old arms and armour,1
the main shrine's walls,HAVE_PAINTINGS_ON_THE_UPPER_PART_OF,better view,1
shey shey,WAS_THE_ANCIENT_CAPITAL_OF,ladakh,1
sengge namgyal,BUILT_A_MORE_IMPOSING_PALACE_AT,leh,1
shey,LOCATION,ladakh's heartland,1
shey,CONTAINMENT,palace complex,1
sakyamuni,IMAGE,copper-gilt image,1
deldan namgyal,BUILDER,temple,1
swiss team,RESTORER,wall-paintings,1
shey's other main site,LOCATION,not more than three or four hundred metres from the palace hill,1
gyal katun,BUILDER,temple,1
sengge namgyal,BUILDER,gigantic sakyamuni image,1
chiling,SETTLEMENT,craftsmen,1
the five buddhas of meditation,REPRESENTATION,engraving on the rock-face,1
tikse,LOCATION,ladakh,1
tikse,ESTABLISHMENT_DATE,fifteenth century,1
tikse,FOUNDATION_TYPE,ka-dam-pa,1
hemis,REPUTATION,outside visitors,1
hemis,ATMOSPHERE,peaceful or 'religious',1
tikse,TEMPLE_NAME,maitreya,1
tikse,IMAGE_TYPE,chon-kor,1
tikse,PAINTER,monks from the monastery of lingshed,1
tikse,DECORATIVE_WORK,local artists,1
du-khang,LOCATION,courtyard,1
du-khang,PAINTINGS,terrifying deities,1
tourists,VISIT,monasteries,1
phiyang,HOST,festival,1
lamayuru,HOST,festival,1
thak-thak,HOST,festival,1
karsha,HOST,festival,1
hemis festival,DEDICATE,padmasambhava,1
lamas,PERFORM,dance-dramas,1
visitor,OBSERVE,scenes,1
shawm,PLAY,melody,1
eleven-foot horns,MOAN,sound,1
drums,BOOM,sound,1
cymbals,CLASH,sound,1
doll,RITUALLY DISMEMBER,tsampa,1
demons,SCATTER,fragments,1
individual soul,PURIFY,process,1
ladakhi spectators,FLOCK,festival,1
gompa,FOUND,1630s,1
stag-tsang-ras-pa,FOUND,hemis gompa,1
sengge namgyal,PATRON,hemis gompa,1
namgyal kings and princes,ACCOMMODATE,pavilion,1
visitor,SEE,du-khang,1
lamas,SPEAK,english,1
lama shambhunath,DEDICATED,enormous silver chorten,1
old man of long life,POURING,cup of tea,1
elephant,SUPPORTING,monkey,1
monkey,CARRYING,rabbit,1
rabbit,SUPPORTING,bird,1
bird,PECKING,fruit from a tree,1
chemrey,SITUATED,tributary valley of the indus,1
stag-tsang-ras-pa,FOUNDING,monastery,1
sengge namgyal,PATRONAGE,monastery,1
luciano petech,SHOWING,actual founding of chemrey monastery,1
guru rinpoche,HOUSEHOLD,new du-khang,1
padmasambhava,STAYING,caves in ladakh,1
matho,LOCATED_IN,zanskar range,1
tikse,OPPOSITE,matho,1
bactrian magpie,FOUND_IN,ladakh,1
saskya-pa sect,REPRESENTED_BY,matho gompa,1
matho gompa,HOUSES,lamas,1
du-khang,CONTAINS,paintings of the lords of the quarters,1
chapel on topmost storey,CONTAINS,old thangkas,1
matho gompa 'museum',CONTAINS,robes and masks worn by the lamas,1
matho gompa,FAMOUS_FOR,annual festival of the oracles,1
oracles,PERFORM,dramatic feats,1
stok palace museum,HOUSES,family's heirlooms and relics,1
avalokiteswara,COME_FROM,bhutan,1
bronzes,BELONG_TO,kashmiri_style,1
namgyal rulers,EXERCISE,priesdy_functions,1
lama's hat,WORN_BY,dance-dramas,1
scriptures,FILLED_WITH,lettering_in_pure_gold,1
wooden blocks,COVERED_WITH,endless_repetitions_of_om_mani_padme_hum,1
sword,TWISTED_BY,tashi_namgyal,1
fez-like hat,WORN_BY,rinchen,1
tea and changa sets,USED_IN,kings' daily life,1
chatelaine,MADE_OF,gold,1
gyal khatun's necklace,BELONGED_TO,queen,1
royal perak,BELONGED_TO,queen,1
turquoise-studded shoulder ornament,BELONGED_TO,jovo kunjo,1
ladakh,HAS CAPITAL,basgo,1
diogo d'almeida,WROTE ACCOUNT OF,ladakh,1
tibetan and mongol armies,ADVANCED TOWARDS,indus valley,1
basgo palace,WITHSTOOD SIEGE FOR,three years,1
basgo palace,HAS PERENNIAL WATER-SUPPLY,true,1
leh and shey,HAVE ROYAL RESIDENCES LIKE,basgo palace,1
maitreya,IS WORSHIPPED IN,"shrines at basgo, leh, and shey",1
tshe-wang namgyal,BUILT TEMPLE FOR,maitreya,1
sixteenth-century murals,SURVIVE ON,temple at basgo,1
mahakala,IS DEPICTED ABOVE ENTRANCE OF,main temple door,1
vajrapani,USURPS PLACE ABOVE ENTRANCE OF,main temple door,1
lords of the quarters,ARE TRANSLATED TO,position beneath bodhisattva,1
court scenes,ARE DEPICTED IN,narrow frieze below lords,1
tshe-wang namgyal and family,ARE DRESSED IN,kashmiri-mughal style,1
atisa,IS REPRESENTED IN,large figure on temple wall,1
chorten,IS DEPICTED AS DECORATIVE FRIEZE OF,temple ceiling,1
ser-zangs temple,IS DEDICATED TO,buddhist scriptures,1
sengge namgyal,DEDICATED TEMPLE AS ACT OF MERIT BY,kangyur and tenjur,1
verandah,HAVE,murals,1
buddha figures,BE,landscape,1
buildings,HAVE,roofs,1
river,BE,place for bathing,1
musicians,BE,present,1
elephants,BE,present,1
temple,BE DEDICATED BY,skalzang dolma,1
murals,SHOW,sakyamuni,1
divinities,BE,yab-yum,1
ge-lugs-pa lama,LOOK,uneasy,1
likir gompa,SEEM,well-maintained,1
ngari rinpoche,BE EMBODIED IN,younger brother of the dalai lama,1
scripture,BE KEPT,pigeon-holes,1
puja-room,HAVE,beautiful images,1
head lama,HAVE,private apartments,1
old images,BE,in a bad state of repair,1
alchi,FOUNDATION,rin-chen-zang-po,1
alchi,FOUNDING,kal-dan shes-rab,1
alchi,ESTABLISHMENT,ladakhi kingdom,1
rin-chen-zang-po,ROLE,second spreading of buddhism in tibet,1
tabo,SURVIVING MONUMENT,second spreading of buddhism in tibet,1
likir,MAINTENANCE,alchi,1
ge-lugs-pa monastery,RESPONSIBILITY,alchi's maintenance,1
likir monks,ATTENDANCE,alchi,1
buddhist iconography,RECORD,second spreading of buddhism in tibet,1
indian buddhist iconography,INSPIRATION,alchi chos-kor,1
lotsawa lha-khang,HAS,image,1
lotsawa lha-kangh,HAS,"painting of the great translator, rin-chen-zang-po",1
sakyamuni,IS DEPICTED WITH,avalokiteswara,1
du-khang,HAS,paintings in a style that survives hardly anywhere else,1
sum-tsek,HAS,unique three-storey temple,1
alchi,IS HOME TO,treasure-houses of an otherwise vanished art,1
cloisters,HAS,paintings of the thousand buddhas,1
outer gate,HAS,wheel of life and mahakala,1
small shrines,HOLDS,image of eleven-headed avalokiteswara flanked by other bodhisattvas,1
small shrines (right),HOLDS,gigantic four-armed maitreya,1
du-khang proper,IS DEDICATED TO,five dhayani buddhas,1
vairocana,IS ASSOCIATED WITH,centre of things,1
alchi paintings,EXECUTE BY,indian craftsmen,1
rin-chen-zang-po's inspiration,EXTEND BEYOND,kashmir,1
mahakala above the door,FEATURE,heraldic seeming beasts,1
du-khang,HAVE EXTRAORDINARY RICHES,none,1
sum-tsek,SURPASS,du-khang,1
ground-floor chamber,ADMIT,daylight,1
bodhisattva images,EXTEND UP THROUGH,second storey,1
stucco chorten,OCCUPY CENTER OF,lower chamber,1
miniature paintings,EXECUTE,none,1
avalokiteswara's robe,DEPICT,palaces and shrines,1
maitreya's robe,ADORN WITH,roundels representing events of sakyamuni's life,1
manjusri's robe,SHOW INSPIRATION FROM,tantric tradition,1
prajnaparamita,APPEAR ON SECOND STOREY ABOVE,head of manjusri image,1
tashi namgyal,REIGN DURING,none,1
sum-tsek,REQUIRE REPAIR AND RESTORATION WORK,none,1
mahakala,OVER,main doorway,1
prajnaparamita,ON,second storey,1
avalokiteswara,UPSTAIRS,attendant goddesses,1
sum-tsek,COMPARABLE TO,formal perfection of the mandalas,1
lha-khang soma,LESS ANCIENT THAN,sum-tsek's or du-khang s mandalas,1
alchi,SPECIAL BECAUSE OF ITS FIVE TEMPLES AND WONDERFULLY VARIED PAINTINGS,nothing,1
chos-kor,LOCATED IN THE MIDST OF,"oasis, hidden among the desert's dunes",1
tourist's anorak and camera,OUT OF PLACE,at alchi,1
monks,PRESERVING,"marvellous monument they had raised, in this remote spot",1
ri-dzong,FOUNDED ONLY A HUNDRED YEARS AGO TO GIVE FULL EXPRESSION TO THE MONASTIC IDEAL OF THE GE-LUGS-PA,nothing,1
main road along the indus,"LEAVING AT ULE-TOKPO, BETWEEN SASPOL AND NYURLA",track to ri-dzong,1
gompa,BE SITUATED AT,point,1
gompa buildings,RISE HIGH ABOVE,footpath,1
monks,BE LAID UNDER,discipline,1
ri-dzong,HAVE MURALS WITH INDIVIDUAL STYLE,same type,1
lama tshul-tim nyima,EXECUTE MURALS,life of sakyamuni,1
silver chorten,BE MADE AT,mang-gyu,1
ladakh's monastic treasures,BE OVERLOOKED BY ART HISTORIAN OR ANTIQUARIAN,ri-dzong,1
lamas,HAVE AIR OF PEACE AND DEDICATION,all too rare in many gompas,1
lamayuru,BE BELIEVED TO BE OLDEST MONASTIC SITE,central ladakh,1
yung-drung (‘swastika’),HAVE BEEN A HOLY PLACE OF BON-CHOS BEFORE ADVENT OF BUDDHISM,none,1
lamayuru,BE ONE OF THE MOST SPECTACULARLY PICTURESQUE GOMPAS,village,1
structure (oldest part),HAVE ICONOGRAPHY PLACES IT SQUARELY IN TIME OF SECOND SPREADING,none,1
lamayuru,LOCATION,rin-chen-zang-po's time,1
lingshed,ESTABLISHMENT,ge-lugs-pa,1
photoksar,LOCATION,abandoned gompa,1
wanla gompa,LOCATION,route between zanskar and lamayuru,1
mang-gyu,LOCATION,alchi,1
sumdah,LOCATION,alchi,1
tara,MANIFESTATION,copper-gilt,1
skyoba jigsten gonbo,GURU,dri-gung-pa,1
sumda,LOCATION_OF,three temples,1
alchi,CONTEMPORARY_WITH,the paintings,1
mulbekh gompa,SITUATED_ON,a crag,1
drug-pa and ge-lugs-pa,BELONGING_TO,two gompas,1
shergol,LOCATED_OFF_THE_MAIN_ROAD,on the other side of the wakha river,1
ngari rinpoche gompa,LOCATED_NEAR_BY,the main road,1
ladakh,LOCATION_OF,gyal gompa and the namika-la,1
the gompa,BE DESCRIBED AS,hermitage,1
the gompa,SITUATED,thirty metres above the village,1
the lama's living quarters,SERVES AS,verandah,1
the tiny chapel,CARVED OUT OF,the rock itself,1
gyal,NEED VISIT,to see paintings or images,1
rangdum and the gompas of zanskar,BE KNOWN AS,land of religion,1
the drug-pa claim,BELONG TO,stakna in the indus valley,1
"rangdum, karsha, stong-de and phugtal",BELONG TO,ge-lugs-pa,1
rangdum,DRAWS ITS SUPPORT MAINLY FROM,the villages on the south side of the stod river,1
one of the smaller temples,HAS A SERIES OF MURALS DATING FROM,the time of the monastery's foundation,1
the thousand buddhas,BE COVERED WITH,one wall,1
dzongkhul and sani,BELONG TO,the drug-pa,1
dzongkhul,BE HOME TO,famous yogins,1
dzongkhul,SITUATED NEAR THE FOOT OF,wide side valley,1
umasi-la,PRINCIPAL PASS ACROSS,great himalaya,1
temples,CONTAIN,thangkas and images of drug-pa lamas,1
tsilatse,HAVE,eleven-headed avalokiteswara and a beautifully painted chorten,1
sani,BELIEVED TO BE PERHAPS THE VERY OLDEST RELIGIOUS SITE IN,ladakh,1
kanika chorten,BASED ON ASSUMPTION THAT THIS NAME REFERS TO,kushan emperor kanishka,1
sani gompa,FOUNDED BY,padmasambhava,1
main temple,DEDICATED TO,guru lha-khang,1
karsha,VISIBLE FOR MILES FROM,central plain,1
karsha gompa,FOUNDATION ATTRIBUTED TO,padmasambhava,1
chuk-shik-jal temple,HAS WALL-PAINTINGS WHICH SEEM TO LINK IT TO THE FOUNDATIONS OF,rin-chen-zang-po era,1
du-khang,GOT INTERESTING MURALS EVIDENTLY OF SOME AGE,murals,1
lha-brang temple,HAS GOT INTERESTING MURALS EVIDENTLY OF SOME AGE,murals,1
stongde gompa,FOUNDED BY,marpa's disciple,1
stongde gompa,TAKEN OVER BY,ge-lugs-pa,1
it is a well-maintained and flourishing establishment,CONTAINS,seven temples,1
tshogs-khang,DECORATED WITH,paintings of rare beauty and delicacy,1
ge-lugs-pa temple,SITUATED ON,top of a mound of glacial debris,1
stagrimo,LOCATED ABOVE,"padum, the principal village",1
bardan,NOT MUCH FURTHER FROM,padum than karsha or stongde,1
gompa perches on a crag,RISING SHEER OUT OF,the river,1
du-khang,HAS SOME MURALS,which seem to date from about the time of the gompa's foundation,1
mune,LOCATED UP THE LUNGNAK GORGE IS THE SMALL GE-LUGS-PA GOMPA,whose two du-khang are decorated with fairly recent murals,1
phugtal,"IS OFF THE MAIN GORGE, ABOVE THE WATERS OF",the tsarap river,1
phugtal,MUST HAVE BEEN A RELIGIOUS CENTRE OF AT LEAST LOCAL IMPORTANCE FOR IN BOTH STYLE AND EXECUTION THE EARLY PAINTINGS AS WELL AS SOME OTHERS ATTRIBUTED TO THE SIXTEENTH CENTURY ARE SAID TO BE OF EXTRAORDINARY BEAUTY,tabo in spiti,1
jesuits,"WERE PART OF A JESUIT MISSION UNDER THE PORTUGUESE PRIEST, ANTONIO DE ANDRADE",in western tibet,1
tsaparang,BECAME THE HEADQUARTERS OF,a jesuit mission in 1625,1
prester john,ASSOCIATED_WITH,nestorian christians,1
nestorian christians,COMMUNITY_IN,central asia,1
jesuits,ESTABLISHED_MISSIONS_AT,courts of the emperors akbar and jahangir,1
pilgrims to mount kailash,COMPARED_RITUALS_WITH,catholic rituals,1
jesuits,PARTED_COMPANY_WITH,hindu pilgrims,1
the jesuits,CONTINUED_TRAVELING,over the 5600-metre mana pass into guge,1
fr. antonio de andrade,LEFT_TSAPARANG,at the end of august with a written commission from the king,1
the king,APPOINTED_CHIEF_LAMA,fr. antonio de andrade,1
fr. antonio de andrade,RETURNED_TO,agra early in november with two boys from tsaparang,1
the missionaries,PURSUED_EXISTENCE_IN,tsaparang for about five years,1
andrade,APPOINTMENT,head of the whole jesuit province of goa,1
andrade,REPORT,the facts about the feud between ladakh and guge,1
ladakh king,MARRIAGE,guge's second wife,1
guge,SUFFERING,from the depredations of the ladakhi army for eighteen years,1
lamas,INCITEMENT,the army to revolt,1
king's illness,TAKING ADVANTAGE OF,the opportunity to make war on guge,1
guge king,TRICKED INTO SURRENDER,and carried away by the ladakhis,1
two missionaries,TAKEN PRISONERS,to leh,1
brother manuel marques,HELD A PRISONER,in tsaparang by the new ladakhi administration,1
father francisco de azevedo,APPOINTMENT AS VISITOR TO THE MISSION,to proceed immediately to tsaparang and investigate the situation,1
azevedo,REALIZATION,"that the only hope of re-establishing the mission would be to gain the favour of the king of ladakh, sengge namgyal himself",1
they,LEAVE,tsaparang,1
azevedo,PEN,description of leh,1
leh,BE_BUILT,on the slope of a small mountain,1
leh,NUMBER,about 800 families,1
river,FLOW,to lahore,1
town,HAVE,mountain stream,1
he,WEAR,rather dirty upper garment of some red material,1
he,WEAR,mande of the same,1
he,WEAR,threadbare cap,1
he,HAVE,hair hung down to his shoulders,1
he,WEAR,string of skull-bones round his neck,1
he,SIT,on an ornamental carpet of crimson velvet,1
two priests,BE RECEIVED,courteously,1
two priests,REGALE,with butter-tea and tsampa,1
tsaparang mission,NOT_ABLE_TO_RECOVER,from the disastrous events of 1630,1
sengge,SEND,azevedo and oliveira away with kind words,1
azevedo and oliveira,COMPLETE,their amazing journey,1
they,PIONEER,"the route down to kulu valley and the punjab, via the tag-lang, lunga-lacha, bara-lacha and rohtang passes",1
they,GET_ACROSS,rohtang pass,1
ippolito desideri and emanuel freyre,SET_OFF,from delhi over the pir panjal into kashmir en route for tibet,1
they,WINTER,in srinagar,1
ippolito desideri and emanuel freyre,SET_OFF,towards the end of may 1715 to cross the zoji-la,1
leh,LOCATION,srinagar,1
leh,LOCATION,ladakh,1
desideri,JOURNEY,leh,1
andrade,PRESENCE,ladakh,1
nyima namgyal,RECEPTION,two priests,1
desideri,DREAM,missionary work,1
desideri,SEARCH,traces of andrade and his work,1
tibetan border,ATTACHMENT,entourage of a beautiful tartar princess,1
gartok,MILITARY GOVERNOR,late military governor,1
lhasa,LOCATION,tibetan border,1
desideri,STAY,five years,1
relazione,ACCOUNT,life of the tibetans and the mysteries of tibetan buddhism,1
buddha,ACHIEVED ENLIGHTENMENT,nirvana,1
gautama,FOUNDER OF,buddhism,1
brewed barley-water,IS MADE FROM,barley,1
buddhists of ladakh,DRINK,chang (alcoholic drink),1
stupa,REFERS TO,grave-mounds,1
khar-mon,MUSICIANS OF THE PALACE,gyal katun's personal musicians,1
kiraiyakashi,EMPLOYMENT AS A TRANSPORT CONTRACTOR,kiraiya-kash; way of life of the kiraiyakash,1
kushok,TITLE GIVEN TO,"incarnate lama, head of a monastery",1
ladakh,CELEBRATE,losar,1
jamyang namgyal,DECIDE,western ladakh,1
astrologers,ADVISE,wait till after the new year celebrations,1
ladakhis,CELEBRATE,losar two or three months in advance,1
buddhism,ESTABLISH,"hinayana, or lesser vehicle",1
tibetan,PRONOUNCE,mo-mo,1
nirvana,BE,the final state of the soul's release from mundane existence,1
pashmina goat,GROW,"winter growth, under its shaggy hair",1
cashmere shawl,MAKE,from the raw material of pashmina goat,1
kashmiris,WEAR,"voluminous garment, like a kurta but much looser",1
ladakhi women,WEAR,turquoise-studded head-dress,1
puja,BE,"act or ceremony of worship, in buddhism and hinduism",1
punjabi women,WEAR,salwar-kameez,1
women,ADOPT,salwar-kameez,1
tibetan antelope,GROW,pashm,1
tibetan peoples,CONSUME,"parched barley flour, tsampa",1
vajrayana,DISTINGUISH,from the mahayana,1
john bray,AUTHOR,culture,1
ladakh,LOCATION,none,1
ribbach,MISSIONARY,none,1
snellgrove,AUTHOR,description of ladakh,1
tadeusz skorupski,AUTHOR,description of ladakh,1
aitchison,JOINT COMMISSIONER,none,1
bernier,AUTHOR,report on the trade and resources,1
british india,BOUNDARY,none,1
ladakhis,CULTURE,none,1
sanyukta koshal,AUTHOR,none,1
rebecca norman,AUTHOR,none,1
moorcroft,CONQUEROR,none,1
dogra,CONQUEROR,none,1
jammu and kashmir,STATE,none,1
hassnain,AUTHOR,none,1
petech,AUTHOR,none,1
radhu,MEMBER,none,1
caravane tibetaine,MEMBER,none,1
cunningham,JOINT COMMISSIONER,none,1
drew,AUTHOR,none,1
drew,SERVE,maharaja of jammu and kashmir,1
a summer ride in western tibet,DESCRIPTION,journey through ladakh,1
ladakh,LOCATION,western tibet,1
pang-gong lake,LOCATION,srinagar,1
baltistan,LOCATION,karakaoram pass,1
hebers,LIVE,medical missionaries in ladakh,1
hedin,JOURNEY,through ladakh,1
army officer,GO,after game in or beyond ladakh,1
englishman,CROSS,karakoram pass,1
routes,DESCRIPTION,"100 routes including 36 to, from or within ladakh",1
moorcroft,COLLECT,specimens for a natural history museum in the us,1
thomson,TRAVEL,"throughout kashmir and ladak, iskardo",1
ladakh,LOCATION,himalaya occidental,1
dendaletche,EDIT,recent research on ladakh,1
cambridge undergraduate ladakh expedition,EXPEDITION,1977,1
matho,CONTINUITY,change in a ladakhi village,1
ladakh,FOCUSSED ON,zanskar,1
stongde,VILLAGE,none,1
kumik,VILLAGE,none,1
shade,VILLAGE,none,1
pensi-la,ROAD,none,1
ladakh studies,RESONATE,none,1
hombill,JOURNAL,none,1
shridhar kaul,SERVED AS,education officer,1
shridhar kaul,INSTRUMENTAL IN SETTING UP,ladakh buddhist association,1
ancient futures: learning from ladakh,BOOK,none,1
san francisco and london,PUBLISHER,none,1
new delhi,PUBLISHER,none,1
zanskar river,JOURNEY ALONG THE FROZEN,none,1
chadur,RIVER,none,1
ladakh,PHOTOGENIC,none,1
afghanistan,MENTIONED IN CONTEXT OF,aksai chin,1
agriculture,PRACTICED IN,ladakh,1
hussain,MASTER,164,1
inheritance,SYSTEMS OF,"4, 133-5",1
shahtoosh,SEE,toosh,1
