Source,Target,TotalWeight,Relations
winter,period for rest from agricultural operations,1.0,became
bhaichara,kolis,1.0,reciprocal labour of
crops,a hundred years without rotting or catching pests,1.0,could be kept in store for as long
deep chand tomar's family,old coarse grain,1.0,kept in the granary of
agriculture,negligible surpluses,1.0,produced
pastoralism,reproduction of life and sustenance of hill state structures,1.0,necessitated the continuation of modes of production much inferior in their productive capabilities
himalayan economy,pastoral cycle,1.0,was linked with agriculture in relations that over time came to acquire features that made them symbiotic on each other
gaddis and gujars,alpine pastures during summer and low hills during winter,1.0,had their 'runs' spread out over various climatic zones
flocks,main feature of gaddi and gujar life,1.0,took to the alpine pastures during summer and brought down into the low hills during winter
community,agricultural or pastoral,1.0,categorise
pastoral groups,lower hills bordering the plains of punjab,1.0,move
old members,residence in high mountain village sites,1.0,continue
herds,in number per family and geographical restriction,1.0,differ
younger brother or children,moving the herds in their seasonal migration,1.0,charge
kolis,moving the herds in their seasonal migration,1.0,be charged with
flock,within the confines of the beas river valley,1.0,remain
peasant flocks,"much further than this as in mandi, bashahr, sirmur and jubbal",1.0,move
nomadic pastoralists,from the borders of the trans-himalayan ranges till the foothills and plains of punjab,1.0,travel
herds,from the higher reaches of the valley of their residence to its lower reaches,1.0,mostly travel
pastures,the domain of their clan deity,1.0,belong to
agricultural communities,special rights on them,1.0,claim
pastoral wealth,"protein, wool, dairy products and revenue",1.0,provide
occupations,like pastoralism and foraging and gathering,1.0,involv
agricultural communities,surplus,1.0,produce
populations,non-agricultural populations and hill state,1.0,sustain
artisan production,western himalayas,1.0,found
technology,50,1.0,level of
women,spinning and weaving,1.0,do
population,woollen clothes,1.0,wear
rulers,cotton cloth,1.0,use
trading families,cotton cloth,1.0,procure
peasants,honey and milk products,1.0,need
various groups,menial and servile goods,1.0,produce
masons,skilled work,1.0,find
carpenters,skilled work,1.0,find
smiths,skilled work,1.0,find
shoemakers and leather workers,skilled work,1.0,find
ore,charcoal,1.0,smelted with
water mills,grinding wheat and other cereals,1.0,made and operated
rivers,using deodar trees,1.0,bridged
these houses,wood,1.0,made of
these houses,locally hewn stone,1.0,made of
these houses,slates,1.0,roofed with
bamboo working,bamboo,1.0,skill found in hills like
rope making,rope,1.0,skill found in hills like
bow and arrow making,arrows,1.0,skill found in hills like
collecting special plants from forests,plants,1.0,skill found in hills like
trade,trans-himalayan trade,1.0,involved in
pastoral groups,trans-himalayan trade,1.0,involved in
agricultural populations,trans-himalayan trade,1.0,involved in
water-mills,stones,1.0,turn two stones contrary ways
families,goldsmiths,1.0,primarily artisans like
families,carpenters,1.0,primarily artisans like
families,workers at iron foundries,1.0,primarily artisans like
local networks of exchange,peasant communities,1.0,enables optimal use of available resources within its spread by different peasant communities that resided there
one,because,1.0,is handicapped
most of the data,british sources,1.0,comes from
the trade,from the pre-british period,1.0,had seen some major changes
the volume of trade,value of the products involved,1.0,is considered here
a 1868 report,the trade in the region,1.0,provides a detailed account of
the lavi' trade fair,rampur-bashahr,1.0,was held at
the hill states,by the british government,1.0,had their customs and duties abolished
records of the financial commission,the fair has historically been part of a larger trade network,1.0,show that
goods from the plains,products of the himalayan region,1.0,were exchanged for
merchandise,"over two lakh, twenty one thousand rupees",1.0,amounted to
the total volume,due to an epidemic of cholera,1.0,was a decline from earlier amounts
the british government,through palampur and from leh to kashmir,1.0,gave encouragement to other trade routes
traders from the plains,"rs 1,16,441, annas 10, paise 7",1.0,brought
traders of the trans-himalayan region and those from the plains of hindustan,94% of the value of the trade of this fair,1.0,made up
kullu goods,"rs 8,300, annas 4, 65",1.0,had a total value of
bushahr goods participating in this fair,"rs 3,429, annas 12, paise 9",1.0,had a value of
trans-himalayan goods,"rs 1,39,953 and 8 annas",1.0,estimated to be worth
normal sheep wool,"approximately rs 40,520",1.0,worth
pushum wool,"rs 77,640",1.0,worth
charrus,"rs 10,080",1.0,worth
goodma dohur lank (a local herb),"rs 6,050",1.0,worth
himalayan ponies,"rs 3,750",1.0,worth
traders from the plains,"jewels, utensils, cloth, and food items like wheat, sugar, spices, etcetera apart from cash",1.0,traded for
local economy,very little cash,1.0,got most of the money that was brought to the fair
trans-himalayan traders,with their beasts of burden,1.0,came
traders from the plains,the narrow mountain paths,1.0,could not negotiate
hill state and the local deity,specific dues,1.0,required payment
this labour,agricultural families,1.0,was necessary for
the hill state,movement of goods,1.0,controlled
himalayan state,a part of the resources and wealth,1.0,appropriated
this trade,transformation of pastoral wealth into cash,1.0,enabled
people of the plains,laborious tasks,1.0,found to be completely unfit
people,productive activities,1.0,understand
agriculture,seasons,1.0,conditioned by
labour,terrace the valley gradient and to cut the irrigation channel,1.0,put in
crops,four to six growing seasons,1.0,grown in rotation
lands' fertility,producing the greatest variety of food crops that were feasible,1.0,necessitated by
himalayan peasants,famine and declining fertility of the soil,1.0,insurance against
kullu peasants,different crops,1.0,grew
sheep and goats,low hills and valleys,1.0,began moving up from
herds,migration to the low hills and valleys,1.0,came back during autumn
social relations,fertilising and grazing of stumps by these herds,1.0,enabled
forests,agriculturists and pastoralists,1.0,interdependent with
peasant family,"agriculture, pastoralism, foraging, and gathering",1.0,had to combine
kullu region,detailed information,1.0,contain
mountain economy,its own reproduction,1.0,sustain
pre-modern agricultural communities of the plains,more vulnerable,1.0,be
emergent states,lineages in western himalayas,1.0,gain supremacy over
gurkhas,western himalayas,1.0,subdue
deity,oracle or goor,1.0,express will through
divine functionaries,deity,1.0,carry out work on behalf of
